kettou,url
サムソンビッグ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/samsonbig_icon.png
サトノクラウン,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/satonocrown_icon.png
サトノダイヤモンド,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/satonodiamond_icon.png
シーキングザパール,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/seekingthepearl_icon.png
セイウンスカイ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/seiunsky_icon.png
シンコウウインディ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/shinkowindy_icon.png
サイレンススズカ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/silencesuzuka_icon.png
シリウスシンボリ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/siriussymboli_icon.png
スマートファルコン,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/smartfalcon_icon.png
サウンズオブアース,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/soundsofearth_icon.png
スペシャルウィーク,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/specialweek_icon.png
ステイゴールド,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/staygold_icon.png
スティルインラブ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/stillinlove_icon.png
スーパークリーク,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/supercreek_icon.png
スイープトウショウ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/sweeptosho_icon.png
シンボリクリスエス,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/symbolikriss_icon.png
シンボリルドルフ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/symbolirudolf_icon.png
タイキシャトル,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/taikishuttle_icon.png
タマモクロス,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/tamamocross_icon.png
タニノギムレット,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/taninogimlet_icon.png
タップダンスシチー,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/tapdancecity_icon.png
テイエムオペラオー,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/tmoperao_icon.png
トウカイテイオー,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/tokaiteio_icon.png
トーセンジョーダン,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/tosenjordan_icon.png
トランセンド,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/transcend_icon.png
ツルマルツヨシ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/tsurumarutsuyoshi_icon.png
ツインターボ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/twinturbo_icon.png
ヴィルシーナ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/verxina_icon.png
ヴィブロス,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/vivlos_icon.png
ウオッカ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/vodka_icon.png
ウイニングチケット,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/winningticket_icon.png
ウインバリアシオン,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/winvariation_icon.png
ワンダーアキュート,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/wonderacute_icon.png
ヤエノムテキ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/yaenomuteki_icon.png
ヤマニンゼファー,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/yamaninzephyr_icon.png
ユキノビジン,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/yukinobijin_icon.png
ゼンノロブロイ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/zennorobroy_icon.png
アドマイヤベガ,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/admirevega_icon.png
アグネスデジタル,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/agnesdigital_icon.png
アグネスタキオン,https://raw.githubusercontent.com/gazooo0/umamusume-bloodline-app/main/umamusume_image/agnestachyon_icon.png
